symbol,last,pct_chg,rel_vol,vol_1m,vol_3m,vol_5m,vol_10m,vol_15m,trades_1m,trades_5m,trades_10m,trades_15m,shortable_shares,rsi_14,macd,macd_sig,macd_hist,vwap_5m,vwap_30m,vwap5_dist,vwap30_dist,_lastBarAgeSec,_prevClose
CGON,53.84,28.404483663248282,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,330254.0,100.0,-0.09155611789519469,-0.054705224223024346,-0.03685089367217034,,54.29516500151378,,-0.008383159006903956,0.0,41.93
MLTX,19.1,33.19386331938634,1.8674459380479251,2513.0,7788.0,7988.0,16629.0,21151.0,4.0,12.0,39.0,49.0,617678.0,100.0,0.18435668253363602,0.20113895037575796,-0.016782267842121945,19.083948839926556,19.04298019351906,0.0008410816968794062,0.002994269064058931,0.0,14.34
TCGL,7.56,29.67409948542023,1.4991097922848666,0.0,0.0,421.0,421.0,1463.0,0.0,2.0,2.0,5.0,81349.0,100.0,0.044626931326672725,0.07748544205807407,-0.03285851073140135,7.56,7.425056379821958,0.0,0.018174086939563,0.0,5.83
MREO,0.489,27.211238293444318,0.7101618900337131,1896.0,27908.0,81205.0,123980.0,188270.0,3.0,57.0,111.0,191.0,2390008.0,45.55741830863021,0.0014572354796505982,0.007379292778509379,-0.005922057298858781,0.48614608049586433,0.49081452817419097,0.005870497816674136,-0.003696973235370485,0.0,0.3844
OPEX,20.49,25.474586650336807,0.46296296296296297,100.0,100.0,100.0,430.0,1196.0,1.0,1.0,2.0,5.0,98487.0,44.48732076480144,-0.19615907522989318,-0.23558437638712912,0.03942530115723594,20.6,20.498996913580246,-0.005339805825242863,-0.0004388953087888594,0.0,16.33
PELIR,0.38,27.90306294177046,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,100.0,0.0003667715611737621,0.0006184529967671231,-0.000251681435593361,,,,,0.0,0.2971
OPEG,14.7,24.999999999999996,0.0,0.0,0.0,0.0,0.0,108.0,0.0,0.0,0.0,1.0,,23.10419304757025,-0.14060651779187694,-0.14661067807491895,0.006004160283042015,,14.804651162790696,,-0.007068803016022573,0.0,11.76
HSPTR,0.2032,26.99999999999999,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,100.0,0.004605621721375658,0.006073983184836761,-0.0014683614634611033,,,,,0.0,0.16
INBS,17.98,25.64640111809923,0.0,0.0,0.0,0.0,800.0,2597.0,0.0,0.0,6.0,11.0,,100.0,0.037285668113923975,0.11493463014187072,-0.07764896202794674,,18.110708445508024,,-0.007217191193889662,0.0,14.31
NCRA,0.9901,24.010521042084164,4.997802197802198,0.0,200.0,758.0,910.0,910.0,0.0,3.0,4.0,4.0,19904.0,50.53163323703542,0.024799873798880934,0.03100838938856594,-0.006208515589685007,0.9970934036939314,1.0009195604395604,-0.007013789949891317,-0.010809620340328816,0.0,0.7984
QTRX,8.05,23.655913978494638,0.0,0.0,0.0,0.0,0.0,978.0,0.0,0.0,0.0,1.0,945292.0,51.19957615197206,-0.04534606096461413,-0.06733872897609028,0.021992668011476146,,8.04,,0.0012437810945275577,0.0,6.51
SOWG,0.6056,21.120000000000005,0.3197158081705151,900.0,900.0,900.0,1614.0,1614.0,1.0,1.0,3.0,3.0,1084539.0,50.26582603057295,0.0025123958835241433,0.00204984456062806,0.0004625513228960834,0.6056000000000001,0.6130891572922834,-1.8332612691960969e-16,-0.012215445670837424,0.0,0.5
HAO,1.42,22.413793103448278,0.0,0.0,0.0,0.0,139.0,139.0,0.0,0.0,1.0,1.0,305484.0,100.0,-0.00019905048049806418,0.0015000496284768262,-0.0016991001089748904,,1.42,,0.0,0.0,1.16
LINT,40.8,20.92471843509186,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,100.0,0.020032626406290888,0.04395237921944856,-0.023919752813157676,,,,,0.0,33.74
PYXS,1.79,23.44827586206897,1.3137320414300033,1100.0,1100.0,1966.0,6816.0,6816.0,2.0,4.0,6.0,6.0,251594.0,100.0,0.021562315766750162,0.027990955459981925,-0.0064286396932317635,1.7929365886741269,1.8219901919293167,-0.0016378653281310018,-0.017557828835204656,1.0,1.45
INTW,64.04,20.693554466641544,0.1892925430210325,164.0,264.0,264.0,264.0,2164.0,1.0,2.0,2.0,8.0,,100.0,0.015858041813970658,0.09535470983462843,-0.07949666802065777,64.04757575757576,64.1503286328872,-0.00011828328373310211,-0.0017198451705300849,1.0,53.06
VSTL,13.0,20.930232558139537,6.0,0.0,430.0,430.0,430.0,430.0,0.0,1.0,1.0,1.0,3557.0,39.127696180602875,-0.036629295664733164,-0.04136769451578548,0.004738398851052317,13.0,13.0,0.0,0.0,2.0,10.75
LRHC,0.8969,14.987179487179485,0.46250139711635185,900.0,3263.0,6207.0,26747.0,36689.0,2.0,14.0,43.0,61.0,,37.22030432415423,-0.02602846600742592,-0.028114795080794255,0.0020863290733683336,0.8978983728048978,0.9016820043134675,-0.001111899559166167,-0.005303426585638027,2.0,0.78
BEX,21.21,18.8235294117647,0.20439448134900357,0.0,200.0,400.0,400.0,400.0,0.0,2.0,2.0,2.0,149708.0,100.0,0.12659000818331023,0.1668728892954741,-0.04028288111216388,21.21,21.55197183898257,0.0,-0.015867310960569328,3.0,17.85
BEG,30.91,19.945673263484675,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8328.0,67.85605675607991,0.21097940578637875,0.2921383769407974,-0.08115897115441867,,,,,3.0,25.77
SPRY,12.86,17.442922374429227,0.0,0.0,0.0,0.0,0.0,2001.0,0.0,0.0,0.0,10.0,122096.0,100.0,-0.006573321094544227,0.01864079463894902,-0.025214115733493248,,12.838417194268578,,0.001681111106208383,4.0,10.95
LDI,2.94,20.491803278688526,1.843884449907806,0.0,500.0,2500.0,4309.0,4924.0,0.0,2.0,5.0,7.0,3293088.0,100.0,-0.0037532808349878266,-0.008034813458311004,0.004281532623323177,2.9398400000000002,2.932050997746363,5.442473059748691e-05,0.0027110723039082845,4.0,2.44
