symbol,last,prev_close,pct_change,shortable_shares,vol_1m,vol_3m,vol_5m,vol_10m,vpm_1m,vpm_3m,vpm_5m,vpm_10m,trades_1m,trades_3m,trades_5m,trades_10m,tpm_1m,tpm_3m,tpm_5m,tpm_10m,vwap_30m,vpm_base,accel,breakout_score
OLPX,1.6300,1.3500,20.7407,12012.0000,4779.0000,349916.0000,512131.0000,1281251.0000,4779.0000,116638.6667,102426.2000,128125.1000,19.0000,592.0000,896.0000,2154.0000,19.0000,197.3333,179.2000,215.4000,1.6195,128125.1000,0.0373,19.9479
APO,NA,NA,NA,NA,627.0000,42221.0000,61057.0000,80574.0000,627.0000,14073.6667,12211.4000,8057.4000,3.0000,212.0000,343.0000,501.0000,3.0000,70.6667,68.6000,50.1000,145.7608,8057.4000,0.0778,NA
AMZN,NA,NA,NA,NA,54940.0000,207549.0000,312047.0000,528018.0000,54940.0000,69183.0000,62409.4000,52801.8000,247.0000,1127.0000,1671.0000,2817.0000,247.0000,375.6667,334.2000,281.7000,242.5759,52801.8000,1.0405,NA
VT,NA,NA,NA,NA,23612.0000,51896.0000,61207.0000,85151.0000,23612.0000,17298.6667,12241.4000,8515.1000,154.0000,289.0000,338.0000,468.0000,154.0000,96.3333,67.6000,46.8000,143.8555,8515.1000,2.7730,NA
MSTR,NA,NA,NA,NA,22925.0000,73024.0000,132910.0000,306509.0000,22925.0000,24341.3333,26582.0000,30650.9000,200.0000,713.0000,1208.0000,2527.0000,200.0000,237.6667,241.6000,252.7000,162.1124,30650.9000,0.7479,NA
PLTR,NA,NA,NA,NA,65637.0000,223122.0000,330609.0000,526916.0000,65637.0000,74374.0000,66121.8000,52691.6000,262.0000,923.0000,1399.0000,2270.0000,262.0000,307.6667,279.8000,227.0000,184.0948,52691.6000,1.2457,NA
HOUS,NA,NA,NA,NA,33528.0000,90868.0000,142093.0000,261344.0000,33528.0000,30289.3333,28418.6000,26134.4000,205.0000,634.0000,1022.0000,1820.0000,205.0000,211.3333,204.4000,182.0000,17.8860,26134.4000,1.2829,NA
SQQQ,NA,NA,NA,NA,104342.0000,427512.0000,484917.0000,593187.0000,104342.0000,142504.0000,96983.4000,59318.7000,294.0000,1144.0000,1287.0000,1583.0000,294.0000,381.3333,257.4000,158.3000,64.9802,59318.7000,1.7590,NA
MAT,NA,NA,NA,NA,24004.0000,32097.0000,36077.0000,54833.0000,24004.0000,10699.0000,7215.4000,5483.3000,167.0000,215.0000,254.0000,383.0000,167.0000,71.6667,50.8000,38.3000,21.7281,5483.3000,4.3777,NA
SMR,NA,NA,NA,NA,46720.0000,135798.0000,227362.0000,502689.0000,46720.0000,45266.0000,45472.4000,50268.9000,185.0000,587.0000,944.0000,1935.0000,185.0000,195.6667,188.8000,193.5000,19.7227,50268.9000,0.9294,NA
GLD,NA,NA,NA,NA,28820.0000,69698.0000,87876.0000,144442.0000,28820.0000,23232.6667,17575.2000,14444.2000,185.0000,477.0000,700.0000,1384.0000,185.0000,159.0000,140.0000,138.4000,409.7373,14444.2000,1.9953,NA
GRAB,NA,NA,NA,NA,370615.0000,540789.0000,1404384.0000,1812817.0000,370615.0000,180263.0000,280876.8000,181281.7000,257.0000,642.0000,1635.0000,2339.0000,257.0000,214.0000,327.0000,233.9000,5.1355,181281.7000,2.0444,NA
