rank,symbol,exchange,last_price,bid,ask,open,high,low,close,volume,avg_volume,shortable_shares,trade_count,trade_rate,volume_rate,bid_size,ask_size,last_size,timestamp,news_count,news_source,latest_news,change,change_pct
17,YRIV,,0.0005,,,0.0005,0.0005,0.0005,0.0002,50033.0,,,1.0,0.0,0.0,,,49900.0,2025-12-29 16:21:09,0,B:0 F:0,No news,0.00030000000000000003,150.0
18,AHII,,0.001,,,0.001,0.001,0.001,0.0004,385.0,,,2.0,0.0,0.0,,,100.0,2025-12-29 16:21:09,0,B:0 F:0,No news,0.0006000000000000001,150.0
19,CUEN,,0.3,,,0.12,0.3,0.12,0.12,19879.0,,,,,,,,200.0,2025-12-29 16:21:10,0,B:0 F:0,No news,0.18,150.0
20,GXPLF,,0.2455,,,0.2609,0.2609,0.2455,0.1004,738.0,,42582.0,2.0,0.0,0.0,,,200.0,2025-12-29 16:21:10,3,B:0 F:3,"Correction: Greenridge Exploration Down Near 5%, Nearer 52 Week Lows As Raises $2 Million-plus Via F",0.1451,144.5219123505976
21,RMESF,,0.0283,,,0.0283,0.0283,0.0283,0.0117,10000.0,,,,,,,,10000.0,2025-12-29 16:21:11,0,B:0 F:0,No news,0.016599999999999997,141.88034188034183
22,IMUC,,0.218,,,0.1795,0.218,0.0711,0.0912,12218.0,,349817.0,5.0,0.0,0.0,,,100.0,2025-12-29 16:21:11,0,B:0 F:0,No news,0.1268,139.03508771929825
23,REGRF,,0.0063,,,0.0027,0.0063,0.0027,0.0027,256.0,,,,,,,,100.0,2025-12-29 16:21:12,0,B:0 F:0,No news,0.0036,133.33333333333331
24,WLGSF,,0.0032,,,0.0014,0.004,0.0013,0.0014,4242098.0,,4743950.0,116.0,0.0,0.0,,,30000.0,2025-12-29 16:21:12,0,B:0 F:0,No news,0.0018000000000000002,128.57142857142858
25,OPTEY,,0.045,,,0.0059,0.045,0.0059,0.02,41683.0,,89607.0,13.0,0.0,0.0,,,100.0,2025-12-29 16:21:13,0,B:0 F:0,No news,0.024999999999999998,124.99999999999997
26,TIOG,,0.0051,,,0.003,0.0051,0.002,0.0023,24215.0,,1055479.0,15.0,0.0,0.0,,,100.0,2025-12-29 16:21:13,0,B:0 F:0,No news,0.0028000000000000004,121.73913043478264
27,QTCI,,0.011,,,0.011,0.011,0.011,0.0051,2555.0,,1800.0,1.0,0.0,0.0,,,2500.0,2025-12-29 16:21:14,0,B:0 F:0,No news,0.005899999999999999,115.6862745098039
28,BRST,,0.021,,,0.0168,0.0219,0.0168,0.01,292177.0,,,,,,,,10000.0,2025-12-29 16:21:14,0,B:0 F:0,No news,0.011000000000000001,110.00000000000001
29,BNAI,,2.34,2.35,2.37,1.78,2.91,1.77,1.2,1502584.0,,,312816.0,34.0,12600.0,100.0,800.0,500.0,2025-12-29 16:21:15,0,B:0 F:0,No news,1.14,95.0
30,MLYCF,,0.002,,,0.002,0.002,0.002,0.001,100000.0,,,,,,,,100000.0,2025-12-29 16:21:15,0,B:0 F:0,No news,0.001,100.0
31,AMMJ,,0.001,,,0.0005,0.001,0.0005,0.0005,74721.0,,1275740.0,11.0,0.0,0.0,,,400.0,2025-12-29 16:21:16,0,B:0 F:0,No news,0.0005,100.0
32,VDRM,,0.0004,,,0.0004,0.0004,0.0004,0.0002,1000.0,,,,,,,,1000.0,2025-12-29 16:21:16,0,B:0 F:0,No news,0.0002,100.0
33,ECPN,,0.0004,,,0.0004,0.0004,0.0004,0.0002,4000.0,,10950776.0,1.0,0.0,0.0,,,4000.0,2025-12-29 16:21:17,0,B:0 F:0,No news,0.0002,100.0
34,PROCF,,0.05,,,0.05,0.981,0.05,0.0251,7240.0,,127713.0,1.0,0.0,0.0,,,7000.0,2025-12-29 16:21:17,0,B:0 F:0,No news,0.024900000000000002,99.20318725099602
