symbol,last,prev_close,pct_change,shortable_shares,vol_1m,vol_3m,vol_5m,vol_10m,vol_15m,vpm_1m,vpm_3m,vpm_5m,vpm_10m,vpm_15m,trades_1m,trades_3m,trades_5m,trades_10m,trades_15m,tpm_1m,tpm_3m,tpm_5m,tpm_10m,tpm_15m,vwap_5m,vwap_30m,vwap5_dist,vwap30_dist,accel,breakout_score,rsi14,macd,macd_signal,macd_hist,relvol,last_bar_time,last_close,data_status,missing_fields
UWMC,5.15,4.71,9.341825902335465,,300.0,300.0,400.0,400.0,400.0,300.0,100.0,80.0,40.0,26.666666666666668,1.0,1.0,2.0,2.0,2.0,1.0,0.3333333333333333,0.4,0.2,0.13333333333333333,5.0475,5.017703490808934,0.020307082714214962,0.02636594797468554,7.499999999837501,205.08353011462535,64.63033723103251,0.004274853389300226,0.00566736288484867,-0.0013925094955484435,7.0588235294117645,2026-01-08 19:59:00-05:00,5.05,OK,
AGAE,0.403,0.3707,8.713245211761548,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,,99.99425078286495,5.307497797368832e-07,7.801336242756217e-07,-2.493838445387385e-07,,2026-01-08 19:59:00-05:00,0.3754,PARTIAL,"breakout_score,relvol,vwap30_dist,vwap5_dist,vwap_30m,vwap_5m"
PCLA,0.299,0.2755,8.529945553539006,,0.0,433.0,433.0,533.0,533.0,0.0,144.33333333333334,86.6,53.3,35.53333333333333,0.0,1.0,1.0,2.0,2.0,0.0,0.3333333333333333,0.2,0.2,0.13333333333333333,0.28,0.28003752345215766,0.06785714285714271,0.06771405600964733,1.876172607844725e-11,0.0,39.99195429934826,2.5667345739610603e-05,4.3445695004666734e-05,-1.777834926505613e-05,0.0,2026-01-08 19:59:00-05:00,0.28,OK,
IFRX,1.18,1.09,8.256880733944941,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.083971458998935,,0.08858954744966138,1.0,0.0,75.77163965280747,0.0022185108783217,0.002551341555691433,-0.0003328306773697329,0.0,2026-01-08 19:59:00-05:00,1.1,PARTIAL,"vwap5_dist,vwap_5m"
MESO,21.5,19.87,8.203321590337186,,0.0,0.0,0.0,500.0,715.0,0.0,0.0,0.0,50.0,47.666666666666664,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.1,0.13333333333333333,,21.795515695067266,,-0.013558554851452617,1.9999999999600002e-11,0.0,67.40211403677584,0.008517481251416825,0.012739918043465855,-0.00422243679204903,0.0,2026-01-08 19:59:00-05:00,21.79,PARTIAL,"vwap5_dist,vwap_5m"
ICON,3.48,3.22,8.074534161490677,,1107.0,1525.0,1660.0,4778.0,9501.0,1107.0,508.3333333333333,332.0,477.8,633.4,4.0,5.0,6.0,21.0,36.0,4.0,1.6666666666666667,1.2,2.1,2.4,3.564813253012048,3.6677685413245755,-0.023791780099668963,-0.05119421774002264,2.3168689828352513,97.61899127944037,38.15665735024169,-0.03263502951278907,-0.031071637291746747,-0.0015633922210423236,2.040929203539823,2026-01-08 19:59:00-05:00,3.54,OK,
HUBC,0.3565,0.33,8.030303030303019,,0.0,200.0,200.0,200.0,200.0,0.0,66.66666666666667,40.0,20.0,13.333333333333334,0.0,1.0,1.0,1.0,1.0,0.0,0.3333333333333333,0.2,0.1,0.06666666666666667,0.34260000000000007,0.33668567084758644,0.04057209573847025,0.0588511209952361,4.9999999997500004e-11,0.0,83.62516994076886,0.0006104123384363391,-0.0005045100087513583,0.0011149223471876974,0.0,2026-01-08 19:59:00-05:00,0.3426,OK,
RKT,22.9,21.24,7.815442561205274,,3669.0,19952.0,23324.0,41144.0,57884.0,3669.0,6650.666666666667,4664.8,4114.4,3858.9333333333334,4.0,28.0,34.0,48.0,68.0,4.0,9.333333333333334,6.8,4.8,4.533333333333333,22.751711684673868,22.749766471341342,0.006517677323856969,0.006603739376749681,0.8917460626093983,34.87304140116685,55.5113935540947,0.017817053923149473,0.022760980266953567,-0.004943926343804094,1.008645929265577,2026-01-08 19:59:00-05:00,22.75,OK,
SLAI,1.11,1.03,7.766990291262142,,0.0,0.0,0.0,2558.0,2758.0,0.0,0.0,0.0,255.8,183.86666666666667,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.1,0.13333333333333333,,1.0718753894080997,,0.03556813690157884,3.90930414384711e-12,0.0,96.26584822388749,0.014946302123024502,0.012459172531037146,0.002487129591987356,0.0,2026-01-08 19:59:00-05:00,1.08,PARTIAL,"vwap5_dist,vwap_5m"
OSCR,18.0,16.9,6.50887573964498,,2400.0,8715.0,24097.0,36301.0,40124.0,2400.0,2905.0,4819.4,3630.1,2674.9333333333334,5.0,10.0,26.0,40.0,51.0,5.0,3.3333333333333335,5.2,4.0,3.4,18.001803267350017,17.975119522245347,-0.0001001714841138813,0.0013841620203894622,0.6611388116030795,28.849359028982963,52.93981064439266,0.0038266137668188094,-0.005844898397675832,0.00967151216449464,0.7806655173535438,2026-01-08 19:59:00-05:00,18.0,OK,
