symbol,name,country,exchange,currency,ipo,share_outstanding,float_shares,market_cap
SENEA,Seneca Foods Corporation,United States,NMS,USD,,5282966.0,4778182.0,757285440.0
HNNA,"Hennessy Advisors, Inc.",United States,NGM,USD,,7891917.0,4805388.0,74657536.0
BRN,"Barnwell Industries, Inc.",United States,ASE,USD,,12538064.0,4814746.0,14168012.0
KVACU,Keen Vision Acquisition Corporation,United States,NGM,USD,,,4822363.0,
KVACW,Keen Vision Acquisition Corporation,,,,,,4822363.0,
KVAC,Keen Vision Acquisition Corporation,United States,NGM,USD,,9238421.0,4822363.0,108920984.0
EDBL,Edible Garden AG Incorporated,United States,NCM,USD,,5126655.0,4824234.0,3691191.0
EDBLW,Edible Garden AG Incorporated,United States,NCM,USD,,,4824234.0,
CAPS,Capstone Holding Corp.,United States,NCM,USD,,8306205.0,4835623.0,5845907.0
CYAN,Cyanotech Corporation,,,,,7392243.0,4840662.0,2661207.0
CVV,CVD Equipment Corporation,United States,NCM,USD,,6937338.0,4857663.0,21020136.0
FDSB,"Fifth District Bancorp, Inc.",United States,NCM,USD,,5522750.0,4860855.0,82951704.0
SORA,AsiaStrategy,Hong Kong,NCM,USD,,24864000.0,4863896.0,85283520.0
SNYR,Synergy CHC Corp.,United States,NCM,USD,,11251853.0,4864289.0,20928448.0
PCSC,Perceptive Capital Solutions Corp,US,NASDAQ NMS - GLOBAL MARKET,USD,2024-06-12,8911250.0,4882538.0,146865728.0
NAII,"Natural Alternatives International, Inc.",United States,NGM,USD,,6176778.0,4893985.0,21124582.0
LPCN,Lipocine Inc.,United States,NCM,USD,,5551931.0,4894138.0,29036600.0
LARK,"Landmark Bancorp, Inc.",United States,NGM,USD,,6074231.0,4896858.0,167385344.0
ETS,Elite Express Holding Inc.,US,NASDAQ NMS - GLOBAL MARKET,USD,2025-08-21,12550005.0,4899991.0,10192155.0
MTEN,Mingteng International Corporation Inc.,China,NCM,USD,,19766054.0,4902283.0,16803124.0
SBFMW,"Sunshine Biopharma, Inc.",United States,NCM,USD,,,4903934.0,
SBFM,"Sunshine Biopharma, Inc.",United States,NCM,USD,,4905945.0,4903934.0,6181490.0
UBCP,"United Bancorp, Inc.",US,NASDAQ NMS - GLOBAL MARKET,USD,1993-03-01,5774011.0,4914723.0,85397640.0
ZKIN,"ZK International Group Co., Ltd.",China,NCM,USD,,15823946.0,4917579.0,26109510.0
EML,The Eastern Company,United States,NGM,USD,,6068650.0,4918034.0,124164576.0
NPK,"National Presto Industries, Inc.",US,"NEW YORK STOCK EXCHANGE, INC.",USD,1980-03-17,7151940.0,4928974.0,775627968.0
IDYLF,Imaging Dynamics Company Ltd.,,,,,10334550.0,4929890.0,294696.0
LZMH,LZ Technology Holdings Limited,China,NCM,USD,,129570000.0,4931630.0,211377296.0
MAMO,Massimo Group,United States,NCM,USD,,41640950.0,4940699.0,170311504.0
UGHB,Universal Global Hub Inc.,,,,,49511775.0,4945236.0,4951.0
BYFC,Broadway Financial Corporation,US,NASDAQ NMS - GLOBAL MARKET,USD,1996-01-09,6097773.0,4945560.0,58156436.0
UYSCU,UY Scuti Acquisition Corp.,United States,NCM,USD,,6677500.0,4945761.0,69646328.0
UYSCR,UY Scuti Acquisition Corp.,United States,NCM,USD,,,4945761.0,
UYSC,UY Scuti Acquisition Corp.,United States,NCM,USD,,7658348.0,4945761.0,78421480.0
SUGRF,,,,,,11017062.0,4962456.0,225944720.0
BSAAU,BEST SPAC I Acquisition Corp.,Hong Kong,NCM,USD,,,4964843.0,
BSAAR,BEST SPAC I Acquisition Corp.,Hong Kong,NCM,USD,,,4964843.0,
BSAA,BEST SPAC I Acquisition Corp.,,,,,6024500.0,4964843.0,74734952.0
GTEC,Greenland Technologies Holding Corporation,,,,,17394226.0,4969182.0,12160305.0
SHIM,Shimmick Corporation,,,,,35815479.0,4970830.0,114251384.0
MGN,Megan Holdings Limited,Malaysia,NCM,USD,,16250000.0,4989300.0,27137500.0
OKUR,"OnKure Therapeutics, Inc.",,,,,12861672.0,4998744.0,37934960.0
BPRN,"Princeton Bancorp, Inc.",United States,NMS,USD,,6762859.0,5000864.0,238593696.0
PPCB,"Propanc Biopharma, Inc.",Australia,NCM,USD,,13364244.0,5006914.0,7828774.0
FABFF,FAB-FORM INDUSTRIES,,,,,9174507.0,5008730.0,9174507.0
FVNNR,Future Vision II Acquisition Corp.,,,,,,5023474.0,
FVNNU,Future Vision II Acquisition Corp.,China,NCM,USD,,,5023474.0,
FVN,Future Vision II Acquisition Corp.,China,NCM,USD,,7544000.0,5023474.0,79815520.0
EDSA,"Edesa Biotech, Inc.",Canada,NCM,USD,,8333823.0,5031712.0,12000706.0
SCKT,"Socket Mobile, Inc.",United States,NCM,USD,,7976462.0,5039130.0,8375284.0
VWAVW,"VisionWave Holdings, Inc.",United States,NCM,USD,,,5044581.0,
VWAV,"VisionWave Holdings, Inc.",United States,NGM,USD,,16496603.0,5044581.0,159852080.0
PMEC,Primech Holdings Ltd.,Singapore,NCM,USD,,38417987.0,5044666.0,39378436.0
COLAU,Columbus Acquisition Corp,Singapore,NGM,USD,,7944290.0,5052171.0,83494488.0
COLA,Columbus Acquisition Corp,Singapore,NGM,USD,,7944290.0,5052171.0,82143960.0
COLAR,Columbus Acquisition Corp,Singapore,NGM,USD,,,5052171.0,
AGCC,Agencia Comercial Spirits Ltd,Taiwan,NCM,USD,,19876500.0,5061730.0,193795872.0
LSBWF,"LakeShore Biopharma Co., Ltd",,,,,,5062567.0,
AIXC,"AIxCrypto Holdings, Inc.",United States,NCM,USD,,5160383.0,5071005.0,13004168.0
RMCF,"Rocky Mountain Chocolate Factory, Inc.",,,,,9300508.0,5078521.0,18042986.0
JFB,JFB Construction Holdings,United States,NCM,USD,,6115524.0,5096372.0,94607160.0
ECOR,"electroCore, Inc.",United States,NCM,USD,,7995903.0,5106344.0,39579720.0
RRBI,"Red River Bancshares, Inc.",US,NASDAQ NMS - GLOBAL MARKET,USD,2019-05-03,6756609.0,5107794.0,496002688.0
EQS,"Equus Total Return, Inc.",United States,NYQ,USD,,13966696.0,5158599.0,23184714.0
CRMT,"America's Car-Mart, Inc.",United States,NMS,USD,,8294807.0,5178614.0,214503712.0
CSBR,"Champions Oncology, Inc.",United States,NCM,USD,,13886326.0,5187793.0,96926552.0
PLAG,Planet Green Holdings Corp.,United States,ASE,USD,,9382714.0,5188547.0,19516046.0
SER,"Serina Therapeutics, Inc.",United States,ASE,USD,,10664064.0,5190200.0,28366412.0
HCI,"HCI Group, Inc.",United States,NYQ,USD,,12960037.0,5193074.0,2489104640.0
NODK,"NI Holdings, Inc.",US,NASDAQ NMS - GLOBAL MARKET,USD,2017-03-16,20605747.0,5202333.0,279737280.0
FLD,"Fold Holdings, Inc.",United States,NCM,USD,,48307642.0,5206598.0,125599856.0
FLDDW,"Fold Holdings, Inc.",United States,NCM,USD,,,5206598.0,
NGNE,Neurogene Inc.,United States,NGM,USD,,15489800.0,5210149.0,309950912.0
SBFG,"SB Financial Group, Inc.",,,,,6240963.0,5229730.0,136614704.0
MTNB,"Matinas BioPharma Holdings, Inc.",United States,ASE,USD,,6406191.0,5232897.0,3968635.0
GRNQ,Greenpro Capital Corp.,Malaysia,NCM,USD,,9325813.0,5235804.0,15574107.0
PLTXF,JIVA Technologies Inc.,,,,,5240961.0,5239494.0,151987.0
BRLSW,Borealis Foods Inc.,,,,,,5253573.0,
SOPA,Society Pass Incorporated,Singapore,NCM,USD,,6105525.0,5265527.0,11112056.0
NOEMR,CO2 Energy Transition Corp.,,,,,,5267657.0,
NOEMW,CO2 Energy Transition Corp.,United States,NGM,USD,,,5267657.0,
NOEMU,CO2 Energy Transition Corp.,United States,NGM,USD,,8370000.0,5267657.0,93409200.0
NOEM,CO2 Energy Transition Corp.,United States,NGM,USD,,9585750.0,5267657.0,98829088.0
