symbol,name,country,exchange,currency,ipo,share_outstanding,float_shares,market_cap
REFR,Research Frontiers Incorporated,United States,NCM,USD,,33648221.0,26337136.0,46434548.0
PLXS,Plexus Corp.,United States,NMS,USD,,26759184.0,26341473.0,4129150464.0
DAO,"Youdao, Inc.",China,NYQ,USD,,31280889.0,26344775.0,1133516416.0
GRPN,"Groupon, Inc.",United States,NMS,USD,,40754803.0,26389550.0,736031744.0
SYBT,"Stock Yards Bancorp, Inc.",United States,NMS,USD,,29473458.0,26400555.0,1965290240.0
AGYS,"Agilysys, Inc.",United States,NMS,USD,,28042508.0,26405553.0,3406638848.0
MX,Magnachip Semiconductor Corporation,South Korea,NYQ,USD,,35981823.0,26443042.0,94992016.0
PRKS,United Parks & Resorts Inc.,United States,NYQ,USD,,54550611.0,26555237.0,1980335872.0
MCY,Mercury General Corporation,United States,NYQ,USD,,55388627.0,26555523.0,5203761664.0
AEHR,"Aehr Test Systems, Inc.",United States,NCM,USD,,30006590.0,26573536.0,643941376.0
AVD,American Vanguard Corporation,United States,NYQ,USD,,28468140.0,26595790.0,114157248.0
DSGN,"Design Therapeutics, Inc.",United States,NMS,USD,,56963757.0,26602075.0,548560960.0
MTRX,Matrix Service Company,United States,NMS,USD,,28124527.0,26686801.0,330463200.0
HPK,"HighPeak Energy, Inc.",United States,NGM,USD,,125587093.0,26711119.0,538584896.0
ESLT,Elbit Systems Ltd.,Israel,NMS,USD,,46436200.0,26721125.0,26519250944.0
LYTS,LSI Industries Inc.,United States,NMS,USD,,31092786.0,26733438.0,583922560.0
IMMX,"Immix Biopharma, Inc.",United States,NCM,USD,,52695519.0,26750148.0,297202720.0
IPGP,IPG Photonics Corporation,United States,NMS,USD,,42124481.0,26811390.0,3174093568.0
VC,Visteon Corporation,United States,NMS,USD,,27285922.0,26834886.0,2654920192.0
FHTX,Foghorn Therapeutics Inc.,United States,NGM,USD,,56551289.0,26838676.0,305376960.0
OSTX,OS Therapies Incorporated,United States,ASE,USD,,35214352.0,26884045.0,53173672.0
SUUN,PowerBank Corporation,Canada,NGM,USD,,36640486.0,26898585.0,69983328.0
CMTL,Comtech Telecommunications Corp.,United States,NMS,USD,,29629375.0,26917102.0,140146944.0
HOVR,New Horizon Aircraft Ltd.,Canada,NCM,USD,,43355189.0,26926750.0,67634088.0
APYX,Apyx Medical Corporation,United States,NMS,USD,,41029622.0,26943334.0,141141904.0
CSTL,"Castle Biosciences, Inc.",United States,NGM,USD,,29188659.0,26975575.0,1149887232.0
LOPE,"Grand Canyon Education, Inc.",United States,NMS,USD,,27968476.0,26990978.0,4728201216.0
AMG,"Affiliated Managers Group, Inc.",United States,NYQ,USD,,28128908.0,27006565.0,8411959808.0
MAZE,"Maze Therapeutics, Inc.",United States,NGM,USD,,48119444.0,27046977.0,2025828480.0
